ID,Timestamp,bat_volt(V),bat_cur(mA),bat_power(%)
1,14:51:01,15.32,7.82,89
2,14:51:04,15.42,7.92,89
3,14:51:09,15.52,8.02,88
4,14:51:14,15.62,8.12,88
5,14:51:19,15.72,8.22,87
6,14:51:24,15.82,8.32,87
7,14:51:29,15.92,8.42,86
8,14:51:34,16.02,8.52,86
9,14:51:39,16.12,8.62,85
10,14:51:44,16.22,8.72,85
11,14:51:49,16.32,8.82,84
12,14:51:54,16.42,8.92,84
13,14:51:59,16.52,9.02,83
14,14:52:04,16.62,9.12,83
15,14:52:09,16.72,9.22,82
16,14:52:14,16.82,9.32,82
17,14:52:19,16.92,9.42,81
18,14:52:24,17.02,9.52,81
19,14:52:29,17.12,9.62,80
20,14:52:34,17.22,9.72,80
21,14:52:39,17.32,9.82,79
22,14:52:44,17.42,9.92,79
23,14:52:49,17.52,10.02,78
24,14:52:54,17.62,10.12,78
25,15:03:03,15.32,7.82,89
26,15:03:06,15.42,7.92,89
27,15:03:11,15.52,8.02,88
28,15:03:16,15.62,8.12,88
29,15:03:21,15.72,8.22,87
30,15:03:33,15.32,7.82,89
31,15:03:36,15.42,7.92,89
32,15:03:41,15.52,8.02,88
33,15:03:46,15.62,8.12,88
34,15:10:19,15.32,7.82,89
35,15:10:21,15.42,7.92,89
36,15:10:41,15.32,7.82,89
37,15:10:45,15.42,7.92,89
38,15:10:50,15.52,8.02,88
39,15:10:55,15.62,8.12,88
40,15:11:33,15.32,7.82,89
41,15:11:36,15.42,7.92,89
42,15:11:41,15.52,8.02,88
43,15:11:46,15.62,8.12,88
44,15:11:51,15.72,8.22,87
45,15:11:56,15.82,8.32,87
46,15:12:01,15.92,8.42,86
47,15:12:06,16.02,8.52,86
48,15:12:11,16.12,8.62,85
49,15:12:16,16.22,8.72,85
