ID,Timestamp,gps_lat,gps_lng
1,14:51:01,24.433,121.433
2,14:51:04,24.533,121.533
3,14:51:09,24.633,121.633
4,14:51:14,24.733,121.733
5,14:51:19,24.833,121.833
6,14:51:24,24.933,121.933
7,14:51:29,25.033,122.033
8,14:51:34,25.133,122.133
9,14:51:39,25.233,122.233
10,14:51:44,25.333,122.333
11,14:51:49,25.433,122.433
12,14:51:54,25.533,122.533
13,14:51:59,25.633,122.633
14,14:52:04,25.733,122.733
15,14:52:09,25.833,122.833
16,14:52:14,25.933,122.933
17,14:52:19,26.033,123.033
18,14:52:24,26.133,123.133
19,14:52:29,26.233,123.233
20,14:52:34,26.333,123.333
21,14:52:39,26.433,123.433
22,14:52:44,26.533,123.533
23,14:52:49,26.633,123.633
24,14:52:54,26.733,123.733
25,15:03:03,24.433,121.433
26,15:03:06,24.533,121.533
27,15:03:11,24.633,121.633
28,15:03:16,24.733,121.733
29,15:03:21,24.833,121.833
30,15:03:34,24.433,121.433
31,15:03:36,24.533,121.533
32,15:03:41,24.633,121.633
33,15:03:46,24.733,121.733
34,15:10:19,24.433,121.433
35,15:10:22,24.533,121.533
36,15:10:42,24.433,121.433
37,15:10:45,24.533,121.533
38,15:10:50,24.633,121.633
39,15:10:55,24.733,121.733
40,15:11:33,24.433,121.433
41,15:11:36,24.533,121.533
42,15:11:41,24.633,121.633
43,15:11:46,24.733,121.733
44,15:11:51,24.833,121.833
45,15:11:56,24.933,121.933
46,15:12:01,25.033,122.033
47,15:12:06,25.133,122.133
48,15:12:11,25.233,122.233
49,15:12:16,25.333,122.333
