ID,Timestamp,gps_lat,gps_lng
1,20:40:25,23.333,121.3333
2,20:40:25,23.333,121.3333
3,20:40:25,23.333,121.3333
4,20:40:25,23.333,121.3333
5,20:40:25,23.333,121.3333
6,20:40:25,23.333,121.3333
7,20:40:25,23.333,121.3333
8,20:40:25,23.333,121.3333
9,20:40:25,23.333,121.3333
10,20:40:25,23.333,121.3333
11,20:40:25,23.333,121.3333
12,20:40:25,23.333,121.3333
13,20:40:25,23.333,121.3333
14,20:40:25,23.333,121.3333
15,20:40:25,23.333,121.3333
16,20:40:25,23.333,121.3333
17,20:40:25,23.333,121.3333
18,20:40:25,23.333,121.3333
19,20:40:25,23.333,121.3333
20,20:40:25,23.333,121.3333
21,20:40:25,23.333,121.3333
22,20:40:25,23.333,121.3333
23,20:40:25,23.333,121.3333
24,20:40:25,23.333,121.3333
25,20:40:25,23.333,121.3333
26,20:40:25,23.333,121.3333
27,20:40:25,23.333,121.3333
28,20:40:25,23.333,121.3333
29,20:40:25,23.333,121.3333
30,20:40:25,23.333,121.3333
31,20:40:25,23.333,121.3333
32,20:40:25,23.333,121.3333
33,20:40:25,23.333,121.3333
34,20:40:25,23.333,121.3333
35,20:40:25,23.333,121.3333
36,20:40:25,23.333,121.3333
37,20:40:25,23.333,121.3333
38,20:40:25,23.333,121.3333
39,20:40:25,23.333,121.3333
40,20:40:25,23.333,121.3333
41,20:40:25,23.333,121.3333
42,20:40:25,23.333,121.3333
43,20:40:25,23.333,121.3333
44,20:40:25,23.333,121.3333
45,20:40:25,23.333,121.3333
46,20:40:25,23.333,121.3333
47,20:40:25,23.333,121.3333
48,20:40:25,23.333,121.3333
49,20:40:25,23.333,121.3333
50,20:40:25,23.333,121.3333
51,20:40:25,23.333,121.3333
52,20:40:25,23.333,121.3333
53,20:40:25,23.333,121.3333
54,20:40:25,23.333,121.3333
55,20:40:25,23.333,121.3333
56,20:40:25,23.333,121.3333
57,20:40:25,23.333,121.3333
58,20:40:25,23.333,121.3333
59,20:40:25,23.333,121.3333
60,20:40:25,23.333,121.3333
