ID,Timestamp,gps_lat,gps_lng
1,14:51:02,24.433,121.433
2,14:51:05,24.533,121.533
3,14:51:10,24.633,121.633
4,14:51:15,24.733,121.733
5,14:51:20,24.833,121.833
6,14:51:25,24.933,121.933
7,14:51:30,25.033,122.033
8,14:51:35,25.133,122.133
9,14:51:40,25.233,122.233
10,14:51:45,25.333,122.333
11,14:51:50,25.433,122.433
12,14:51:55,25.533,122.533
13,14:52:00,25.633,122.633
14,14:52:05,25.733,122.733
15,14:52:10,25.833,122.833
16,14:52:15,25.933,122.933
17,14:52:20,26.033,123.033
18,14:52:25,26.133,123.133
19,14:52:30,26.233,123.233
20,14:52:35,26.333,123.333
21,14:52:40,26.433,123.433
22,14:52:45,26.533,123.533
23,14:52:50,26.633,123.633
24,15:03:04,24.433,121.433
25,15:03:06,24.533,121.533
26,15:03:11,24.633,121.633
27,15:03:18,24.733,121.733
28,15:03:34,24.433,121.433
29,15:03:36,24.533,121.533
30,15:03:41,24.633,121.633
31,15:03:46,24.733,121.733
32,15:10:20,24.433,121.433
33,15:10:22,24.533,121.533
34,15:10:42,24.433,121.433
35,15:10:45,24.533,121.533
36,15:10:50,24.633,121.633
37,15:10:55,24.733,121.733
38,15:11:34,24.433,121.433
39,15:11:36,24.533,121.533
40,15:11:41,24.633,121.633
41,15:11:46,24.733,121.733
42,15:11:51,24.833,121.833
43,15:11:56,24.933,121.933
44,15:12:01,25.033,122.033
45,15:12:06,25.133,122.133
46,15:12:11,25.233,122.233
47,15:12:16,25.333,122.333
